email,business_name,buyer_address_id
o5mrsfw0@nittybiz.com,The Modern Shop,99db7e7ff627404b84fa492e7dc8a816
nnukvpgk@nittybiz.com,Grand & Urban Bakery,1c601c1308d345dd8ca6aad199b6d60d
kjvt7svt@nittybiz.com,Brilliant & Sleek Restaurant,e2a96af4a8554ba89eb85363474b681c
t5fzd0p8@nittybiz.com,Griddle & House,563daf0b10084d988a8bac7476c71df8
yp4b4dyi@nittybiz.com,The Peaceful Gallery,8524fc00bf444f59acd36e986d7e1ccf
4e3hab4v@nittybiz.com,Express & Station,7a56ab163bef44cf8d1f13eefaac7470
ivdzignu@nittybiz.com,Griddle & Restaurant,b0a3a37c1e1142138df154fe7cf60ec0
n1mypyyo@nittybiz.com,The Sunny Bar,5e5a3411819242a9b45f0f4c4c964e86
gsxidlwx@nittybiz.com,Blue & Heritage Oven,a6fbb94d41824ed49bcc2102d13cf782
aup4qq55@nittybiz.com,The Majestic Emporium,e05e8451438e4f0cafc59c72b50101ce
tm1ew4vp@nittybiz.com,Fresh & Reliable Barbecue,59c6f02d790a4f20b40db3979d154c84
0zoen0kf@nittybiz.com,The Royal Roost,54f89ace4bb940269dabd375fff9c8c0
f14eglmi@nittybiz.com,Elegant & Sunny Express,d293a73cad674837b20670a0e671f4c1
c615olop@nittybiz.com,Kitchen & Pizzeria,a641f6a359084aae89fe592e3d3501c6
qgkruapd@nittybiz.com,Lively & Swift Depot,8c90eab4276d4ff8a4f4843db6790558
4vuelph3@nittybiz.com,Superior Table,13a23e298b7f48b68febe1ebcd8e4c2b
zyigu8z3@nittybiz.com,Innovative & Bold Kitchen,9cf7fc7f686d4af892ccbbb387829775
83pdrc81@nittybiz.com,Heritage & Brilliant Pub,b8f47b2d87e544c48d5893b081afbe12
03a5v8cw@nittybiz.com,Happy Pub,f00c83c51bd04f34b66ccf33b6cb579e
0rgyjywm@nittybiz.com,The Fresh Kitchen,a6a057ddff7d40d09acd8edb2a2e3e54
8flue010@nittybiz.com,The Classic Retreat,c2d2cb412c994eceb9f80955d0960b1d
qzse01dn@nittybiz.com,Peaceful Kitchen,57a93fcc6dbf490f94c301b7555f0fe6
tkxmybp3@nittybiz.com,Lively Diner,1900fd6fbdb64beb93fb533325160d51
b3ru2xoj@nittybiz.com,Classic & Mystic Pizzeria,a05026d66a524ba7a401b09baf089129
ehp5jbq3@nittybiz.com,The Elite House,00885f1dab4c4046b17b46b3de5e7a31
xyidyrgj@nittybiz.com,Mystic & Swift Eatery,835a13bdd8864a1fb99c38ff79b46016
6fdovzd1@nittybiz.com,Superior & Reliable Oven,1896efb301384db6bc6c46821518455d
151cj6uf@nittybiz.com,Emporium & Market,76527e1926124ea4b4bcbe449548bf78
q4hwbuzv@nittybiz.com,Modern & Royal Gallery,ed14feb61b514661a74f73ebe94abe65
i5zgygeb@nittybiz.com,Green Bistro,f9154d8a81d649889dc3c42bc19898f8
2nps33yf@nittybiz.com,Royal & Sleek Griddle,58997e7468284c25adb73a4b5e1ef75f
g0zw23v0@nittybiz.com,Cozy & Green Pub,c25b433240ba421dbd1c4b07d6b5bfd3
wvx2ht49@nittybiz.com,The Sleek Tavern,366ff94d2b6f418198f3fdb28c17284e
lpqedzzt@nittybiz.com,Prime Pub,f7bb2812cad7455b98a853054eaf1591
vy3l2k3a@nittybiz.com,Stove & Feast,2976dbb656844778ac2fb243cbe26d70
t1b5y7vc@nittybiz.com,Grill & Plaza,19f01aaa515046c688a1b7feb81e560a
2ounau13@nittybiz.com,The Innovative Market,e3139883902440f1a7b1849afd24179d
b7x4ndsi@nittybiz.com,Charming Oven,4feb6ae9d1cb486587e5c92097ac0920
lwcz2sxw@nittybiz.com,Sunny Canteen,9aaa0d4d9b9a49f189af4f769b7cb3a8
dd5qhw49@nittybiz.com,Cozy & Majestic Eatery,7833f59de0e54a328d9be0a5d08150cb
sdfsqlnr@nittybiz.com,The Fresh Pizzeria,ef5f4476b6634ab6aab9879a4e7e248e
p1rsiivl@nittybiz.com,Bakery & Cellar,65955e5d9fa0428aa8d4ac89f7c5e0c1
sjvihvr0@nittybiz.com,The Trendy Shop,5e234955fbb3401fb2ed623dfa081971
dv4il8vp@nittybiz.com,Canteen & Restaurant,ff0eaa1a08a14efe92f0459c33679e07
bep33zwr@nittybiz.com,Oven & Inn,879f5ed8251c41f595e8efbd38774c1e
k5ivk11y@nittybiz.com,The Prime Delight,335c3b1e15484aea8fe5182734d6a158
6xeicfhi@nittybiz.com,Golden & Golden Pizzeria,5bd49909954c474d958ba29f7252d2b9
xu1mfsnl@nittybiz.com,Swift Delight,ef58d9bf106542839157d16fde557094
4oito4gi@nittybiz.com,The Mystic Terrace,c76187d97cd74c1ca13bfcd39b394597
itab59gh@nittybiz.com,Dynamic & Dynamic Roost,a3e7915b2af448059593866e7bb658d0
e22f7f58@nittybiz.com,Stove & Table,3011a350575c4787aa472b422940d356
vqt9e0fm@nittybiz.com,The Trendy Market,e6ab83c956744a598070fbe6a1bdd8be
nb76431u@nittybiz.com,Center Co,f18ad4ea1398499ebc4ec151f1d3b178
p4ontywd@nittybiz.com,Corner & Chophouse,f9989e76244b484197b7832e3aedadd3
hj6r5ecq@nittybiz.com,Spoon LLC,ca96e431ad8242b790b6fb6700d01d34
wggbpzz5@nittybiz.com,Pizzeria Enterprises,e251de6eb8a64e2fb596b977f247a766
1exf101f@nittybiz.com,Inn & Oven,dd3df3ab0d954c49a8d7b1ebb4e3d39e
oq170pvr@nittybiz.com,Charming & Vibrant Griddle,32e6aae643f04b179a4d762be968f84f
3lvv0agf@nittybiz.com,Imperial & Happy Bar,2263e5c94fc14c54b212e759c5d0c370
cwjpmdv3@nittybiz.com,Peaceful Shop,c8ef3dbf84144bc380731539f253c413
zk3himrt@nittybiz.com,The Modern Cellar,21c67eed903a4172b7e8447d4014c685
gseo1q4k@nittybiz.com,Urban Kitchen,8a1d2a6fdcd24e449c6b488a0820983a
njnnbeed@nittybiz.com,Elegant & Modern Cellar,f5b9a3163b4f40d9963a76321115d910
6cakf0wd@nittybiz.com,Sleek Pub,65caf81d32374ceeb8b15d881ac9dd5c
0sx95jg1@nittybiz.com,Charming & Peaceful Spot,e3de0f0bbe9b4f788b5f522ab35ad8ed
qpdyy1au@nittybiz.com,Brilliant & Trendy Tavern,bd16d41e78df4d0bac1a385dd984cf3c
zcmxb6eb@nittybiz.com,The New Delight,f7ffea21734747779665194635164921
y11w4vuq@nittybiz.com,Peaceful & Vibrant Bar,46db127d16924993bdfc7bd4d386b5e8
